Date,Open,High,Low,Close,Volume,Adj Close
2015-04-27,443.85999,446.98999,437.41,438.56,5420600,438.56
2015-04-24,439.00,452.64999,439.00,445.10001,17031400,445.10001
2015-04-23,390.20999,391.88,386.14999,389.98999,6640600,389.98999
2015-04-22,391.91,394.28,388.00,389.79999,3447200,389.79999
2015-04-21,391.31,394.60001,386.79999,391.17999,4634500,391.17999
2015-04-20,378.54999,391.94,377.00,389.51001,5001400,389.51001
2015-04-17,382.63,383.56,374.39999,375.56,3828800,375.56
2015-04-16,383.69,387.45001,383.54999,386.04001,2070500,386.04001
2015-04-15,384.64999,385.78,381.64001,383.45001,1921200,383.45001
2015-04-14,383.51001,387.81,381.20999,385.10999,2583600,385.10999
2015-04-13,383.53,385.28,380.14001,382.35999,1894500,382.35999
2015-04-10,384.31,387.12,381.32001,382.64999,2573500,382.64999
2015-04-09,380.66,384.42001,378.79999,383.54001,2392300,383.54001
2015-04-08,374.66,381.57999,374.64999,381.20001,2636400,381.20001
2015-04-07,376.14999,379.31,374.03,374.41,1954900,374.41
2015-04-06,370.10001,380.20001,369.35999,377.04001,3050700,377.04001
2015-04-02,370.50,373.28,369.00,372.25,1875300,372.25
2015-04-01,372.10001,373.16,368.34,370.26001,2458100,370.26001
2015-03-31,373.23999,377.70001,371.51001,372.10001,2506100,372.10001
2015-03-30,371.87,376.12,371.54999,374.59,1820900,374.59
2015-03-27,367.10999,373.17001,366.57001,370.56,2609800,370.56
2015-03-26,369.59,371.39999,365.64999,367.35001,2930000,367.35001
2015-03-25,375.17001,380.50,370.29001,370.95999,3429500,370.95999
2015-03-24,373.98999,375.23999,372.26999,374.09,2228200,374.09
2015-03-23,378.07001,381.76999,374.94,375.10999,2239300,375.10999
2015-03-20,376.29001,379.37,375.92001,378.48999,3763600,378.48999
2015-03-19,373.87,377.10999,372.19,373.23999,1915700,373.23999
2015-03-18,369.97,375.98999,366.70001,375.14001,2654100,375.14001
2015-03-17,371.10999,374.50,369.64001,371.92001,2037000,371.92001
2015-03-16,370.38,373.94,366.72,373.35001,2354100,373.35001
2015-03-13,371.51999,373.98999,366.67999,370.57999,2611700,370.57999
2015-03-12,368.82001,375.50,367.51999,374.23999,2810000,374.23999
2015-03-11,370.60999,373.35001,366.26001,366.37,2495100,366.37
2015-03-10,377.45001,377.76999,369.17999,369.51001,3121000,369.51001
2015-03-09,378.39999,379.32999,375.28,378.56,2311400,378.56
2015-03-06,385.51999,387.00,378.88,380.09,2627000,380.09
2015-03-05,385.60999,388.42001,383.89001,387.82999,2693500,387.82999
2015-03-04,385.70999,387.89999,382.19,382.72,2259100,382.72
2015-03-03,383.95001,386.10001,381.60001,384.60999,1946500,384.60999
2015-03-02,380.85001,385.89999,379.48001,385.66,2139200,385.66
2015-02-27,384.00,385.98999,379.79001,380.16,2532300,380.16
2015-02-26,384.07001,389.37,383.28,384.79999,2687100,384.79999
2015-02-25,377.26999,387.85001,376.54001,385.37,3174500,385.37
2015-02-24,378.64999,380.48001,376.16,378.59,1920800,378.59
2015-02-23,383.44,384.54001,378.00,380.14001,2177000,380.14001
2015-02-20,378.62,383.70001,375.84,383.66,3258000,383.66
2015-02-19,373.48999,381.88,373.42999,379.00,2953800,379.00
2015-02-18,373.78,376.73999,372.85001,373.37,2650600,373.37
2015-02-17,377.72,379.98999,372.67001,375.42999,3673200,375.42999
2015-02-13,378.41,383.00,377.01001,381.82999,3475100,381.82999
2015-02-12,375.10001,378.51001,373.14999,377.17001,2791100,377.17001
2015-02-11,371.23001,377.10001,371.10001,375.14001,2786500,375.14001
2015-02-10,371.19,374.29999,368.51001,373.00,2287200,373.00
2015-02-09,371.00,374.41,367.20001,370.56,2724600,370.56
2015-02-06,374.87,375.98999,371.01001,374.28,3871300,374.28
2015-02-05,366.00,378.79999,365.89999,373.89001,7247600,373.89001
2015-02-04,358.38,367.50,358.23001,364.75,4169900,364.75
2015-02-03,360.29001,367.82001,360.20999,363.54999,6212600,363.54999
2015-02-02,350.04999,365.00,350.01001,364.47,10231900,364.47
2015-01-30,346.32001,359.50,340.73999,354.53,23856100,354.53
2015-01-29,304.73001,312.79999,299.32999,311.78,8656600,311.78
2015-01-28,309.81,311.51001,303.79999,303.91,3063800,303.91
2015-01-27,306.29999,310.23999,302.63,306.75,2920300,306.75
2015-01-26,311.82001,313.00,307.51999,309.66,3169700,309.66
2015-01-23,308.07999,316.92999,307.72,312.39001,4496400,312.39001
2015-01-22,300.00,312.25,300.00,310.32001,5362600,310.32001
2015-01-21,289.64001,306.00,287.26001,297.25,10065100,297.25
2015-01-20,292.59,293.35999,286.39001,289.44,3075100,289.44
2015-01-16,286.28,290.79001,285.25,290.73999,3478200,290.73999
2015-01-15,294.00,296.00,286.82001,286.95001,4410200,286.95001
2015-01-14,291.92999,295.91,286.50,293.26999,5538700,293.26999
2015-01-13,297.48001,301.50,293.23001,294.73999,4130900,294.73999
2015-01-12,297.56,298.51001,289.28,291.41,3421400,291.41
2015-01-09,301.48001,302.87,296.67999,296.92999,2589500,296.92999
2015-01-08,300.32001,303.14001,296.10999,300.45999,3088400,300.45999
2015-01-07,297.50,301.28,295.32999,298.42001,2640300,298.42001
2015-01-06,302.23999,303.00,292.38,295.29001,3519000,295.29001
2015-01-05,307.01001,308.38,300.85001,302.19,2774200,302.19
2015-01-02,312.57999,314.75,306.95999,308.51999,2783200,308.51999
2014-12-31,311.54999,312.98001,310.01001,310.35001,2048000,310.35001
2014-12-30,309.91,313.94,309.34,310.29999,2093000,310.29999
2014-12-29,307.85001,314.26999,306.57999,312.04001,3009000,312.04001
2014-12-26,305.00,310.78,303.81,309.09,2887500,309.09
2014-12-24,306.38,307.00,302.88,303.03,1513800,303.03
2014-12-23,306.98001,307.48999,303.25,306.29001,2713700,306.29001
2014-12-22,301.94,307.35999,301.94,306.54001,4003800,306.54001
2014-12-19,296.91,301.54001,295.51999,299.89999,8709100,299.89999
2014-12-18,304.01001,304.50,293.25,297.73001,7738100,297.73001
2014-12-17,296.37,299.67001,293.03,298.88,4433500,298.88
2014-12-16,304.35001,304.48999,295.01001,295.06,6501300,295.06
2014-12-15,308.87,310.85999,302.14999,306.07001,3841600,306.07001
2014-12-12,303.98999,310.64001,303.01001,307.32001,3153500,307.32001
2014-12-11,307.89001,312.64001,306.01001,307.35999,3262900,307.35999
2014-12-10,312.00,313.19,304.67999,305.84,3245900,305.84
2014-12-09,302.98999,313.64001,301.14001,312.50,4049500,312.50
2014-12-08,311.57001,316.56,304.82001,306.64001,3639200,306.64001
2014-12-05,316.79999,316.92999,310.84,312.63,3265200,312.63
2014-12-04,315.53,318.59,313.47,316.92999,3290300,316.92999
2014-12-03,325.73001,326.76999,314.35999,316.50,5681000,316.50
2014-12-02,327.50,327.92999,323.25,326.31,2783500,326.31
2014-12-01,338.12,340.64001,325.92999,326.00,4944900,326.00
2014-11-28,336.03,341.26001,336.03,338.64001,3051800,338.64001
2014-11-26,333.78,334.64999,331.75,333.57001,1983600,333.57001
2014-11-25,335.26999,336.32999,331.28,335.04001,2561200,335.04001
2014-11-24,334.78,337.39001,333.60001,335.64001,2753700,335.64001
2014-11-21,335.42001,338.32999,331.47,332.63,4466000,332.63
2014-11-20,324.00,332.67001,323.32999,330.54001,3435000,330.54001
2014-11-19,327.25,328.39999,324.01999,326.54001,3280800,326.54001
2014-11-18,323.98999,329.56,323.25,324.92999,3549500,324.92999
2014-11-17,326.44,328.00,318.03,323.04999,4784600,323.04999
2014-11-14,317.12,332.88,316.39999,327.82001,8876300,327.82001
2014-11-13,312.00,317.89001,311.51001,316.48001,3685700,316.48001
2014-11-12,310.75,312.57999,308.79001,311.51001,2181700,311.51001
2014-11-11,305.94,312.38,303.64999,312.01001,3803600,312.01001
2014-11-10,300.00,305.79999,300.00,305.10999,2809100,305.10999
2014-11-07,297.82001,299.98999,296.29001,299.85999,2647400,299.85999
2014-11-06,296.69,297.00,292.29001,296.64001,3758100,296.64001
2014-11-05,303.01001,304.00,294.16,296.51999,4674500,296.51999
2014-11-04,303.98999,304.25,300.17001,302.81,3427400,302.81
2014-11-03,306.23999,308.01001,303.23999,305.72,3242500,305.72
